"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.252524500E0,6.540972441E-1,2.473623651E-1,-1.574463971E0
2.262455500E0,4.918778671E-1,2.046016771E-1,-1.382977014E0
2.272387500E0,2.966946658E-1,1.227681398E-2,-1.040313805E0
2.282318500E0,2.040134472E-1,-1.343848032E-1,-1.070795340E0
2.292250500E0,2.311365610E-1,-2.676966423E-1,-1.698598021E0
2.302182500E0,4.497746254E-1,-1.254561049E-1,-2.036083521E0
2.312113500E0,7.176004911E-1,1.341298646E-1,-1.987475617E0
2.322045500E0,8.011647311E-1,3.982211137E-1,-1.521448436E0
2.331977500E0,5.135496949E-1,6.061323148E-1,-8.004458159E-1
2.341908500E0,-2.431381904E-2,8.956402409E-1,3.193702412E-1
2.351840500E0,6.109382875E-2,1.211050163E0,1.705833365E0
2.361772500E0,3.743730254E-1,6.301795739E-1,2.321909455E0
2.371703500E0,2.831314643E-1,-1.361588484E-1,2.497618285E0
2.381635500E0,9.939513780E-2,-3.247227824E-1,2.725477263E0
2.391567500E0,-5.987914279E-3,-1.089897609E-1,2.699440196E0
2.401498500E0,-2.151464727E-2,5.472409129E-3,2.236828959E0
2.411430500E0,1.216933485E-1,1.439362299E-1,1.801872713E0
2.421362500E0,-4.649373326E-2,5.367580247E-1,1.603563225E0
2.431293500E0,-3.534467907E-1,1.228588886E0,1.710917519E0
2.441225500E0,-6.842016339E-1,1.839256886E0,1.564008565E0
2.451157500E0,-1.016193017E0,1.954621282E0,1.241127071E0
2.461088500E0,-8.728476481E-1,1.739328555E0,1.759009699E0
2.471020500E0,-4.118752028E-1,8.490291613E-1,1.448095116E0
2.480952500E0,-1.970829617E-1,1.316646785E-1,1.059591490E0
2.490883500E0,2.893655464E-2,5.564561248E-2,7.880351007E-1
2.500815500E0,-6.977701709E-3,2.651536882E-2,7.231514722E-1
2.510747500E0,-1.743176316E-1,-2.892658514E-1,9.263433856E-1
2.520678500E0,-1.523432835E-1,-5.529308385E-1,1.200683634E0
2.530610500E0,-2.440107411E-1,-5.795093572E-1,1.206723808E0
2.540542500E0,-5.734433461E-1,-5.668466270E-1,8.841124552E-1
2.550473500E0,-9.348904069E-1,-5.622261572E-1,3.107087606E-1
2.560405500E0,-1.000572180E0,-5.020501220E-1,-2.255376327E-1
2.570336500E0,-8.549170151E-1,-4.686514109E-1,-7.426326406E-1
2.580268500E0,-6.438026362E-1,-3.638757384E-1,-1.244569327E0
2.590200500E0,-4.544609860E-1,5.744246185E-2,-1.316623396E0
2.600131500E0,-3.339586422E-1,4.530001688E-1,-1.228600581E0
2.610063500E0,-4.420557160E-1,3.842445141E-1,-9.814504695E-1
2.619995500E0,-5.574866965E-1,1.640652698E-1,-5.307108343E-1
2.629926500E0,-6.898809613E-1,1.512996286E-1,-2.053951442E-1
2.639858500E0,-7.726560465E-1,1.549713877E-1,-6.451174557E-2
2.649790500E0,-7.097538201E-1,-4.386201113E-2,-1.653078032E-1
2.659721500E0,-5.753876549E-1,-3.055132172E-1,-6.997286958E-1
2.669653500E0,-2.590081549E-1,-5.431712508E-1,-1.563798650E0
2.679585500E0,1.352205165E-1,-6.776724136E-1,-2.510639450E0
2.689516500E0,5.390204586E-1,-3.063979009E-1,-3.014817374E0
2.699448500E0,8.230103673E-1,4.869105113E-1,-3.338895793E0
2.709380500E0,6.723486699E-1,8.679428574E-1,-3.884570822E0
2.719311500E0,3.125071814E-1,8.933753219E-1,-3.707557477E0
2.729243500E0,-8.532648113E-2,7.896805072E-1,-2.515117832E0
2.739174500E0,-2.006851389E-1,7.890177253E-1,-8.714041167E-1
2.749106500E0,1.680340675E-1,6.352871168E-1,-3.373229474E-1
2.759038500E0,4.361750250E-1,-9.908691645E-2,-8.884054810E-1
2.768969500E0,2.558809543E-1,-7.930271611E-1,-1.554678748E0
2.778901500E0,-2.534418614E-1,-7.109483331E-1,-1.784446256E0
2.788833500E0,-3.906325972E-1,-2.237378597E-1,-2.107777986E0
2.798764500E0,-7.681019425E-2,2.607963431E-1,-2.313490049E0
2.808696500E0,2.099722715E-1,5.139316642E-1,-1.971424425E0
2.818628500E0,1.098699130E-1,6.480422330E-1,-1.376739789E0
2.828559500E0,-1.368418032E-1,5.753847313E-1,-6.587087238E-1
2.838491500E0,8.391733870E-2,6.629625732E-1,4.830279601E-1
2.848423500E0,4.080089872E-1,5.016057336E-1,1.178120399E0
2.858354500E0,7.274037136E-1,1.039038527E-1,1.270800521E0
2.868286500E0,9.969447139E-1,7.485196173E-2,1.314535940E0
2.878218500E0,1.057476114E0,1.091996759E-1,7.843156868E-1
2.888149500E0,1.054975698E0,6.327546877E-1,3.703486061E-1
